id,keyword,location,tweet,label
22,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0
23,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,0
24,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0
25,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0
26,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",0
27,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0
28,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0
29,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0
30,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1
31,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,0
32,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0
33,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1
34,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1
35,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1
36,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0
37,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0
38,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0
39,aftershock,"Bay Area, CA",Come with us to Aftershock!,0
40,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0
41,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,0
42,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",0
43,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0
44,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1
45,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1
46,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0
47,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0
48,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1
49,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0
50,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1
51,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0
52,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1
53,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0
54,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,0
55,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0
56,aftershock,,Might be a small aftershock. I didn't feel anything,0
57,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0
58,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0
59,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0
60,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0
61,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0
62,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0
63,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0
64,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0
65,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",0
66,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0
67,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0
68,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0
69,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0
70,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0
71,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0
72,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1
73,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1
74,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0
75,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0
76,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1
77,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0
78,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1
79,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0
80,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,2
81,aftershock,PA,Aftershock forecast for Puerto Rico,0
82,arson,,Bernie and Warren are the two most progressive presidential candidates in a generation. Remind yourself of this before we…,0
83,arson,"Belfast, Northern Ireland",Firefighter Let Out of Jail Despite 'Serious Sex Offenses' Arrested for Starting 17 Fires in Australia https://t.co/GiMhYIlwGC,0
84,arson,Stockholm,"Australia since 1910. This one image says it all. Arson, my ass... total denier bollocks #AustralianBushfireDisaster…",0
85,arson,"Retford, England",Funny (not) how the Australian authorities have investigated nearly 200 people for arson and already charged some.… https://t.co/6MaT9MYXGa,0
86,arson,,Interesting. I posted a few caustic tweets about the failing Morrison government and Pauline Hanson. Then the #Newspoll came…,0
87,arson,"California, USA",Please at least try and do some research first before you speak. Lighting and humans started the Aussie fires. They t…,0
88,arson,"Victoria, Australia",I believe this is the most credible current information on arsonists and… https://t.co/5aunr5kveV,0
89,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,0
90,arson,Bangalore,It's 13 yrs old but imagine they were #JNU students For burning US flag 3 Yale students (1 Xtian &amp; 2 Muslm names) were ch…,0
91,arson,"Helsinki, Finland","""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",0
92,arson,Mind your own bloody business,Is this arson bastardry a co-ordinated global Greens scheme to convince the world Co2 is causing global warming and t…,0
93,arson,Odisha/Bangalore,I don't know why they Hon Judges get carried away? they should have stuck to the law. No one is den… https://t.co/gwDfJdcsaN,0
94,arson,Great Lakes,Arson and failure to enact controlled burning. Easy,0
95,arson,Washington State,"The viral false claim that nearly 200 arsonists are behind the Australia fires, explained https://t.co/V8mJfFmBPh HANNITY…",0
96,arson,,No just plain hard facts. Australia has always had fires - Tony Heller… https://t.co/pSFW3bHioq,0
97,arson,Milkyway Galaxy,190 people arrested for arson!,0
98,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,0
99,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",0
100,arson,"Victoria, Australia",The inquiry will show an alarming increase in the numb…,0
101,arson,"Melbourne, Victoria","Climate change is now the #1 cause of arson. Or perhaps arson is the #1 cause of #ClimateChange Whatever it is, the sol…",0
102,arson,united states,"Two of the most recent studies say there are between 52,000 and 54,000 bushfires in Australia every year. Of…",0
103,arson,Turrbul/Jagera,Still waiting for the scientific data supporting arson rate increases....,0
104,arson,united states,"In Ilhan’s world, arson = climate change.",0
105,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1
106,arson,Port Alfred,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,0
107,arson,"Perth, Western Australia",The inquiry will show an alarming increase in the n… https://t.co/VAN8Gf8Cx3,0
108,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,0
109,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,0
110,arson,,Rubbish Hillary! I am an Australian living near the fires &amp; the causes of the fires have been: 1. Arson with approx 200…,0
111,arson,"Victoria, Australia","We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",0
112,arson,,Emergency Services Commissioner Andrew Crisp says most Victorian fires started by lightening. Not aware of any police…,0
113,arson,Melbourne,The guy next to me is texting people “arson fact file” bushfire conspiracy theories 🤪🙃,0
114,arson,Australia,I've gotten a lot of hate mail for our latest article about the actual arson figures for this bushfire season. Some have accus…,0
115,arson,,"ℹ KNOW THE FACTS ℹ The has said that lightning, not arson, is predominantly responsible for starting this season's…",0
116,arson,"gehenna, probably",that's right im rdg caste heaven.... surprised no one's thought of arson,0
117,arson,,Ummah before everything. 'Eminent intellectuals' ready to make the most ridiculous of claims to provide cover to the foo…,0
118,arson,"Oregon, USA",Yeah because arson and poor forest management is not climate change.,0
119,arson,Nazi Germany,200 people were arrested for arson 😂,0
120,arson,,"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",0
121,arson,"California, USA","Theories are not facts. The earth has not ended since the last time Al Gore, the Democrats &amp; climate change advocates s…",0
122,arson,"Sydney, Perth and Oxford.",As fire chiefs in NSW have made clear there may be a few cases of arson but most fires are caused by ligh… https://t.co/7GDlTmGvrO,0
123,arson,England,Chichester man convicted of arson and assault https://t.co/HSQFTj8xFU,0
124,arson,,"...the lack of decent land management / strategies for fire prevention,… https://t.co/ieKcFNpZVs",0
125,arson,chicago,Ladies don’t ever go to jail for arson over a dusty ass cheating man in a c class 😩 is his date just sittin there waitin…,0
126,arson,,"it's not just arson that's starting the fires though, in some ar… https://t.co/n6keLJK9yB",0
127,arson,,John Brennan Sacked corrupt Ex CIA Director who was one of the people… https://t.co/7ylzHD8vo6,0
128,arson,日本 東京,"As part of our analysis of misinformation propagated about the Australian bushfires, has produced this detai…",0
129,arson,Australia,"TASA member et al. was in the recently on, ' #Bushfires, #bots and #arson claims: #Aus…",0
130,arson,"Oregon, USA",HE HAS A FUCKING HEART AND A LITTLE RAINBOW EMBROIDERED ONTO HIS PANTS IM GOING TO COMMIT ARSON https://t.co/hF30TdQGpy,0
131,arson,,‘I did not burn myself out for nothing’ -Jon Moxley Finally he get the match he committed arson for heheh Can’t wa… https://t.co/XRsENYSlI6,0
132,arson,"Kolkota, West Bengal","Violence, arson across West Bengal as strikers try to enforce bandh; 55 arrested in Kolkata - Times of India… https://t.co/bIMdUMDstT",0
133,arson,,Arson is not climate change. Arson is not climate change. Arson is not climate change. Arson is not climate change. Arson is…,0
134,arson,,"There's no doubt, , that officials are downplaying arson's role in Australia's fires (because they are global…",0
135,arson,🎯🚩🔥☸आर्यव्रत☸🔥🚩🎯,"Dr ji Pakistan,Bangladesh 'Terrorist' Elements Behind Anti-CAA Arson, Says Dr.Swamy Dr Swamy claimed…",0
136,arson,,Arson major factor in Australian Fires... https://t.co/X59fykaOdA,1
137,arson,"New Delhi, India","Anti CAA Protest:-Prof.Robin Verma released from Lucknow jail this morning. He was illegally detained, brutally tortured…",0
138,arson,"Perth, Western Australia","In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",0
139,arson,,"Actually, that claim about 200 people is the hoax. https://t.co/ilbnslmdeW",0
140,arson,"Queensland, Australia",Perhaps we should put out a companion piece of the biggest Arson deniers.,0
141,arsonist,NSW. Gumbaynggirr country.,The arsonist turns up with a fire extinguisher. https://t.co/WRpE2YRLue,0
142,arsonist,,The arsonist turns up with a fire extinguisher.,0
143,arsonist,,Bullying &amp; harassing people who disagree with your candidate’s assessment that a woman can’t beat Trump is not the path…,0
144,arsonist,"Melbourne Australia
",Equivalent of an arsonist that lights the fire then rushes in as a hero to put it out! Except this fi… https://t.co/xFebDYfVsa,0
145,arsonist,"Townsville, Queensland",Have I got this right #Arsonist in Chief of #AustraliaBurning Morrison is even smugger &amp; smirkier than usual bc he clai…,0
146,arsonist,,Fke news. None of the bush fires in Victoria were lit by arsonist.,0
147,arsonist,"Bengaluru, India","In Bhainsa of Nirmal district(Telangana), stone pelter and arsonist mobs have selectively targeted hindu properties, v…",0
148,arsonist,United States,It’s called 185 arsonist!,0
149,arsonist,Ciudad de Mexico,"""Morbius the Living Vampire""? I mean, ok. I can come up with names too. ""Garamondo the Dead Werewolf."" ""Camandrake the…",0
150,arsonist,Location,One of the blog confirms that voilence was linked to CAA and nrc protest. In Bhainsa of Nirma…,0
151,arsonist,Lasgidi,"Had two dreams , one bad and the other good . I was a hero in the second dream 😁😁😁😁😁. Even rode a 6 legged mystic… https://t.co/nAe63CJfZS",0
152,arsonist,"Hyderabad, India",This is what happening in Bhainsa elections collude betweenTRS-Aimim(arsonist mob) #Bhainsaattacked #Bhainsaburnt s… https://t.co/OlEigmtEcy,0
153,arsonist,Levi's mop,You mean a sea sandwich?,0
154,arsonist,"Paraparaumu, Kapiti Coast Dist",Love to see a billionaire talking about climate change. It's lik… https://t.co/t6KNAi9umn,0
155,arsonist,,Australia is burning because people intentionally set the bushes on fire to create panic that doesn't or… https://t.co/UjUGS9Mne1,0
156,arsonist,"Minnesota, USA","Trump is simply a political arsonist. He requires crisis and chaos to survive. If there is no crisis, he will create…",0
157,arsonist,"New Britain, CT","Tow-trucks and cigarette butts Toe-tags and body-bags Gunshots and raindrops-- At night, the city burned The sun w… https://t.co/kZP4lAixEj",0
158,arsonist,,Moving on very quickly from the bush fires you arsonist,0
159,arsonist,,"Trump is simply a political arsonist. He requires crisis and chaos to survive. If there is no crisis, he…",0
160,arsonist,https://youtu.be/7p5tWONPBp0,someone posted this in discord and agowijfaklw;fjlkawefsa https://t.co/pyqYmU2cGV,0
161,attack,"Kolkata, India",Where are the nationalist news anchors when it is time to question the motive of Davinder Singh ? A dubious officer who was…,0
162,attack,"Texas, USA",Warren is disappointed that Bernie is sending out people to challenge her and Bernie says Warren is doing the same to him. Th…,0
163,attack,,"This campaign would NEVER attack supporters. The script, which was not directed by the campaign, pointed…",0
164,attack,japan,#StarWars Skywalker Saga Lifetime #OscarNoms 🏆 A New Hope: 10 🏆 Empire Strikes Back: 3 🏆 Return of the Jedi: 5 🏆 Phanto…,0
165,attack,"New York, USA",Let me tell you something cause every time I post anything political I get attack all type of crazy .If you are a conservati…,0
166,attack,,[BLINK ATTACK] Goal: 2k RTs 200 comments #KillThisLove #FaveChoreography #iHeartAwards https://t.c…,0
167,attack,central Qld australia,"Trump shares horrific photo of bloodied corpse: The tweet that Trump shared said: ""Question: Who in America supports this m…",0
168,attack,"Shimla, Chandigarh India","Two militants were being escorted to Delhi by a police officer, possibly intending to commit a terrorist attack on Jan…",0
169,attack,United States,"In one week, I watched democrats... Attack a man who stopped a church shooting. Mourn over an Iranian terrorist. Blam…",0
170,attack,República de Moçambique,"When satan is lazy to attack you, he sends a broke guy with big a d*ck 🍆 into your life . Watch out ladies 🤣🤣🤣",0
171,attack,,Attack your local journalist https://t.co/SVuIFchljA,0
172,attack,Larrakia,"RT #FightExtremism ""The Taliban have claimed responsibility for a roadside bomb attack in Kandahar that killed two… https://t.co/7Ym9WSGKQp",0
173,attack,"Brisbane, Queensland","“Use Edited clips, Coordinated, vicious attack, ill-informed, malicious” seemed like appraisal discussion at India Today…",0
174,attack,Larrakia,"RT #FightExtremism ""An emboldened al-Shabab threatens to strike American targets around the world days after the So… https://t.co/wAfc8yVd5Z",0
175,attack,"Mumbai, India",मुस्लिम महिला छात्रों से गुंडागर्दी/POLICE ATTACK ON WOMEN STUDENT https://t.co/RKIDl9ohGA via,0
176,attack,"Thessaloniki, Greece",#Drone strikes by birds are surprisingly common and occur in many parts of the world. What professional dronists sa… https://t.co/aZTJJe5diz,0
177,attack,,It's an interesting question but principally because Prevent is so loosely defined. It is principall… https://t.co/YJREdou6zk,0
178,attack,0/2,You ever accidentally send a snap to an Internet personality and have a heart attack 😰😂,0
179,attack,Hell-on-Earth-Iowa,It is disingenuous for Bernie supporters to be leading an attack on Warren for her supposed attack on Sanders (which is what…,0
180,attack,"لاہور, پاکستان",Afzal Guru gets hanged to death in 2013 since he gave refugee to Parliament attack terrorist!He claimed he did so on t…,0
181,attack,"Dublin, Ireland",Boris currently in BBC breakfast referring to the POTUS as “Trump” and suggesting there was no reason for the UK to be…,0
182,attack,,The Fake News Media and their Democrat Partners are working hard to determine whether or not the future attack by terr…,0
183,attack,"Harlow, East",Genuinely Could NOT Agree With You More! I Have Been Abused by Harlow Council For 9+ Yrs C… https://t.co/0Iv4nGQ2aq,0
184,attack,Lao P.D.R,me having an anxiety attack trying to look normal so that nobody notices.,0
185,attack,,Remember the 2016 attack on the IAF base in Pathankot? The attackers came in the official car of Punjab Police SP Salwi…,0
186,attack,,Moments before taking a bucket full of d6 for the Sneak Attack. #dnd #dungeonsanddragons #dnd5e https://t.co/QotzVHVliW,0
187,attack,germany | 𝟣𝟫𝟢𝟨𝟢𝟩/𝟢𝟪,i tried to go to school today and everything was fine but now i sit outside of the classroom bc my hands started to… https://t.co/JDbcnqrOJH,0
188,attack,"Winterfell, Westeros",DSP Davinder Singh worked for JeM terrorists for money for decades. He admitted to torturing Afzal Guru whom he allegedly…,0
189,attack,"San Francisco, CA",BREAKING: #IranAttacks - we have just discovered an Interview from the Danish TV2 who has met with a soldier that was o…,0
190,attack,"Mumbai, India","Trolls launch mala fide campaign against India Today, use edited clips. This co-ordinated, vicious attack against …",0
191,attack,"MAGA🇺🇸KAG🇺🇸Oregon, USA","🤦🏻‍♂️👉 WELCOME 2 OREGON, THE LIBERAL STATE, 👉WHERE U CAN ATTACK A SECURITY GUARD W/ MACHETE WHILE USING…",0
192,attack,"Kaunas, Lithuania","At 8:07am local time two years ago today, human error, this text alert, escalating US-North Korea tensions, and the lack…",0
193,attack,Kansas,Not going to repost the hate speech from the president* today but find it vile that he would dress the Speaker in Muslim garb…,0
194,attack,"San Francisco, CA","Along with several other soldiers, the Danish sergeant waited several hours in a bunker in #Iraq for the #Iranian attac…",0
195,attack,Respect Hezbollah,"When Orientalism, Islamophobia, and anti-#Iran sentiment are used to attack people across the political aisle (this was retweet…",0
196,attack,Pune ;India,#Alert- This has raised serious questions on national security. I had raised this even during the Uri attack that they enter…,0
197,attack,CHENNAI,"Wheels within wheels. Davinder Singh, the #Kashmir senior cop held with weapons and two Lashkar/Jaish men in his car, is the…",0
198,attack,,money website my pinned tweet so Republicans launched a lil somthin beer future attack tweets far government lol have every thing like,0
199,attack,,"I love it when the possessed attack me on here;) Easily identified, the foot soldiers of hell are terrified. The truth shall set you free!",0
200,attack,"San Francisco, CA","Six hours before Iran sent missiles to two military bases in Iraq, the Danish govt and the Defense Force knew about the…",0
201,attack,,I'm tired of ppl always trying to attack cardi because she be speaking straight facts💯,0
202,attack,Berlin,#Kashmir DSP Davinder Singh's dramatic arrest with 2 militants has created big national security questions for India: E…,0
203,attack,Lincolnshire England.,German Hospital Forced to Hire Security Guards After ‘Refugees’ Physically Attack Nurses https://t.co/BkDDlcTDk5,0
204,attack,"Ballia, India","It is indeed incredible that 9 days after the attack on JNU, the exposes done by the media, the confession on national TV b…",0
205,attack,"Los Angeles, CA","""Make no mistake. This is a full-on attack on our 2020 election."" — on The New York Times report that Russians…",0
206,attack,"San Francisco, CA","Suddenly the first layer comes. 9 rockets, a ton each. It cannot be described. I've never experienced anything like it,…",0
207,attack,mumbai,"https://t.co/2NIgrcLoeq Elephants under attack - 400 in Sri Lanka - last year . Our habits , convenience and choices are…",0
208,attack,,"From 's today: ""Attacking another candidates’ supporters rather than her record is kind of obnoxious.""…",0
209,attack,,"If 0bama was still POTUS, the ChiComs would’ve stolen the presidency. Cuz no one in O’s administration would help Taiwa…",0
210,attack,UEE - Terra - Prime,"""We confirm the attack on our database by the #UEE, which has been stopped and sent back to the enemy… https://t.co/BKUBH95Kae",0
211,attack,"Riyadh, Saudi Arabia",Statement Following the Conclusion of Pensacola Naval Air Station Attack Investigation ⁦⁩ https://t.co…,0
212,attack,University of Nottingham,Ending 2019 with a long-awaited paper from &amp; Gorman Lab at showing hydrogel injection attenuate…,0
213,attack,"FCT Abuja, Nigeria ",This plank row hellset will attack you abs. https://t.co/5DIIh4wBIe,0
214,attack,India,‘Yehi Hai Wo Sanghi Ka Room.’ Bachelors Student From JNU Recalls January 5 Attack By ‘Leftist’ Mob https://t.co/jHAfGbcqYW vi…,0
215,attack,,"ok dont attack me on this, it's just a joke kslsk",0
216,attack,London,"They accepted responsibility, expressed regret and paid compensation ... all in a very short ti… https://t.co/WW071qrlWq",0
217,attack,,"Mob attacked Hindus, Burnt &amp; looted houses in Bhansia in Telangana. AIMIM party is behind the attack on Hindus https:/…",0
218,attack,,How about this? Of the 21 Saudi Muslim aviation students investigated in connection with the December 2019 Pensacola att…,0
219,attack,Creag Longairt and Paris,Labour candidate in ‘embarrassing’ attempt to attack Nicola Sturgeon https://t.co/AahCOJUw0v,0
220,attack,"San Francisco, CA","After the attack, the soldiers were surprised that the destruction was not greater. I would estimate that the nearest r…",0
221,attack,номe,Gegenpress and all out attack... Does leave you 1 CB down at the back but...turn it off once they re… https://t.co/92t1zCfJDh,0
222,attack,circus,I just zoom it and took ss and feel attack.. How our fansites stay alive?? 😳 😳 😳 https://t.co/xXTn2Ht5kB,0
223,attack,Savigny sur orge,NYT: Experts find evidence Russians hacked Ukrainian gas company | Engadget https://t.co/1UKfLO3IQH // dans la séri… https://t.co/Y7gbe84m2J,0
224,attack,,"A person could theoretically say ""Trump will attack a female nominee just like he did Hillary"" - I hear peopl…",0
225,attack,long island,Maybe I could be addicted. I’m not sure. It’s hard to put down because of that need to know whats going on at this… https://t.co/Rb6lyoM7XH,0
226,attack,,This is how our White blood cells attack a parasite. https://t.co/O35owVTgNX,0
227,attack,القدس,Stone throwing that killed Palestinian mother of 8 recognized as terror attack https://t.co/Gjz3cQC7Rl,0
228,attack,,what if iz*one is gonna disband too? that they just said that iz*one will resume so the fans won’t worry but in the… https://t.co/Zy16AGQe42,0
229,attack,,"Tumne Beta Mumbai attack ke Baad JHA2 kabara tha,kya? Tum sirf saboot mango. https://t.co/ek6VWvmBpz",0
230,attack,"London, England","I’m deeply troubled by the news of violent attack on individuals and properties at Bhainsa, Telangana. Such actions are…",0
231,attack,NYC,US expels 21 Saudi cadets after terrorist attack at base. Most had jihadist literature. 15 of the 19 9/11 hijackers were a…,0
232,attack,,"The media thinks of me as ""far-right"" just because I support the America First Trump agenda. Actually, I'm fiscally conse…",0
233,attack,,for his Participation in countering a Fidayeen Attack by Terrorists at District Police Lines Pulwahma on 25/26 Aug 2017 w…,0
234,attack,,US military base in Iraq a few days after Iran missile attack #Iranattack https://t.co/x2Q8QiXKVc via,0
235,attacked,Germany,I feel attacked. https://t.co/PrtvRimq6y,0
236,attacked,New Zealand,God is going to bless you in the same season the devil attacked you.,0
237,attacked,Follow for Follow,"Texas Democrat congressional candidate, , was violently attacked by Red Guards Austin, a revolutionary Comm…",0
